Date,weight,calories
2022-07-01,167.4,
2022-07-02,,2542.0
2022-07-03,167.0,
2022-07-04,,
2022-07-05,,1782.0
2022-07-06,,2204.0
2022-07-07,,2288.0
2022-07-08,170.1,2054.0
2022-07-09,170.3,2815.0
2022-07-10,172.2,1624.0
2022-07-11,172.4,1919.0
2022-07-12,170.2,1979.0
2022-07-13,171.3,2100.0
2022-07-14,168.4,1955.0
2022-07-15,167.7,1925.0
2022-07-16,,2399.0
2022-07-17,168.8,1916.0
2022-07-18,168.6,1898.0
2022-07-19,169.4,2119.0
2022-07-20,168.5,2494.0
2022-07-21,,1945.0
2022-07-22,,1889.0
2022-07-23,167.1,1929.0
2022-07-24,,2031.0
2022-07-25,168.1,1856.0
2022-07-26,168.9,1968.0
2022-07-27,167.6,2420.0
2022-07-28,,1863.0
2022-07-29,167.1,2217.0
2022-07-30,,2757.0
2022-07-31,,1931.0
