Date,weight,calories
2021-11-07,,2848.0
2021-11-08,158.2,2896.0
2021-11-09,159.2,2854.0
2021-11-10,158.3,2833.0
2021-11-11,158.9,2845.0
2021-11-12,158.9,2586.0
2021-11-13,,2932.0
2021-11-14,160.2,2662.0
2021-11-15,159.3,2735.0
2021-11-16,,2526.0
2021-11-17,158.5,2700.0
2021-11-18,158.8,2716.0
2021-11-19,159.5,2438.0
2021-11-20,159.3,2790.0
2021-11-21,159.9,2753.0
2021-11-22,160.5,2610.0
2021-11-23,160.0,2621.0
2021-11-24,160.1,2680.0
2021-11-25,,2159.0
2021-11-26,,2070.0
2021-11-27,159.6,2587.0
2021-11-28,159.7,2580.0
2021-11-29,159.6,2490.0
2021-11-30,160.3,2511.0
2021-12-01,159.5,2339.0
2021-12-02,159.8,1784.0
2021-12-03,,1948.0
2021-12-04,,2313.0
2021-12-05,160.5,2656.0
2021-12-06,160.8,2656.0
2021-12-07,161.9,2635.0
2021-12-08,,2890.0
2021-12-09,161.4,2737.0
2021-12-10,,495.0
2021-12-11,,3350.0
2021-12-12,161.6,
2021-12-13,160.7,
2021-12-15,161.4,
2021-12-17,164.1,
2021-12-18,163,
2021-12-19,165,
2021-12-20,165.2,
2021-12-22,163.0 ,
